published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-10-07,1005.2,1050.0,1005.2,1050.0,0.0,656.0,678771.6,0
2025-10-08,1050.0,1071.0,1050.0,1051.0,0.1,310.0,329127.5,1
2025-10-09,1070.0,1072.0,1030.0,1030.0,-2.0,1325.0,1414685.0,-1
2025-10-12,1020.1,1060.9,1020.0,1060.9,3.0,407.0,420454.0,1
2025-10-13,1079.7,1087.0,1061.5,1061.5,0.06,2408.0,2615144.5,1
2025-10-14,1041.1,1050.0,1041.1,1045.0,-1.55,100.0,104482.5,-1
2025-10-15,1046.1,1066.0,1046.1,1066.0,2.01,125.0,132430.0,1
2025-10-16,1078.0,1078.0,1060.0,1060.0,-0.56,125.0,133400.0,-1
2025-10-19,1078.0,1088.0,1078.0,1088.0,2.64,1112.0,1207370.0,1
2025-10-26,1068.0,1068.0,1057.0,1057.0,-2.85,75.0,79550.0,-1
2025-10-28,1042.0,1078.1,1042.0,1078.1,2.0,150.0,160802.5,1
2025-10-29,1065.0,1065.0,1065.0,1065.0,-1.22,25.0,26625.0,-1
2025-10-30,1050.0,1065.0,1045.0,1065.0,0.0,159.0,168218.1,0
2025-11-03,1086.0,1091.0,1086.0,1086.0,1.97,829.0,903314.0,1
2025-11-04,1064.3,1064.3,1064.3,1064.3,-2.0,70.0,74501.0,-1
2025-11-05,1059.0,1064.0,1059.0,1064.0,-0.03,75.0,79675.0,-1
2025-11-06,1064.0,1064.0,1050.0,1050.0,-1.32,80.0,84770.0,-1
2025-11-09,1030.7,1080.0,1030.7,1070.0,1.9,160.0,169543.0,1
2025-11-10,1071.0,1078.0,1071.0,1075.0,0.47,1040.0,1117900.0,1
2025-11-11,1075.0,1075.0,1075.0,1075.0,0.0,25.0,26875.0,0
2025-11-12,1075.0,1075.0,1075.0,1075.0,0.0,50.0,53750.0,0
2025-11-13,1075.0,1093.0,1075.0,1093.0,1.67,1040.0,1131370.0,1
2025-11-16,1080.0,1080.0,1076.0,1076.0,-1.56,40.0,43140.0,-1
2025-11-17,1093.0,1093.0,1076.0,1077.0,0.09,950.0,1035625.0,1
2025-11-18,1077.0,1077.0,1077.0,1077.0,0.0,25.0,26925.0,0
2025-11-19,1069.0,1072.0,1069.0,1072.0,-0.46,125.0,133700.0,-1
2025-11-20,1072.0,1072.0,1060.0,1070.0,-0.19,259.0,275679.1,-1
2025-11-23,1065.0,1095.0,1065.0,1091.4,2.0,770.0,840579.5,1
2025-11-24,1080.0,1080.0,1065.0,1065.0,-2.42,75.0,80250.0,-1
2025-11-25,1065.0,1086.3,1065.0,1065.1,0.01,295.0,318866.0,1
2025-11-26,1065.1,1065.1,1060.0,1060.0,-0.48,75.0,79627.5,-1
2025-11-27,1070.0,1085.5,1070.0,1085.5,2.41,282.0,304695.9,1
2025-11-30,1096.0,1096.0,1075.0,1081.0,-0.41,879.0,961359.0,-1
2025-12-01,1096.0,1096.0,1075.0,1081.0,0.0,1312.0,1417102.0,0
2025-12-03,1081.0,1090.0,1070.0,1075.0,-0.56,130.0,140375.0,-1
2025-12-07,1075.0,1080.0,1060.0,1079.0,0.37,735.0,788049.0,1
2025-12-08,1079.0,1090.0,1079.0,1090.0,1.02,250.0,271475.0,1
2025-12-09,1095.0,1096.0,1091.0,1091.0,0.09,125.0,136725.0,1
2025-12-10,1091.1,1101.0,1091.1,1101.0,0.92,225.0,247477.5,1
2025-12-14,1099.0,1099.0,1086.0,1086.0,-1.36,1215.0,1334960.0,-1
2025-12-15,1070.0,1090.0,1070.0,1090.0,0.37,105.0,113475.0,1
2025-12-17,1073.0,1073.0,1073.0,1073.0,-1.56,35.0,37555.0,-1
2025-12-18,1070.0,1070.0,1070.0,1070.0,-0.28,25.0,26750.0,-1
2025-12-21,1061.0,1082.2,1061.0,1082.0,1.12,100.0,107685.0,1
2025-12-22,1090.1,1092.2,1090.1,1090.1,0.75,300.0,327082.5,1
2025-12-23,1075.0,1090.0,1075.0,1090.0,-0.01,125.0,134750.0,-1
2025-12-24,1100.0,1100.0,1100.0,1100.0,0.92,125.0,137500.0,1
2025-12-28,1080.0,1080.0,1080.0,1080.0,-1.82,25.0,27000.0,-1
2025-12-29,1098.0,1101.6,1098.0,1101.0,1.94,610.0,671826.0,1
2025-12-31,1079.0,1079.0,1071.0,1071.0,-2.72,50.0,53790.0,-1
2026-01-01,1090.0,1090.0,1081.0,1081.0,0.93,100.0,108550.0,1
2026-01-04,1085.0,1102.6,1070.0,1102.6,2.0,151.0,165087.5,1
2026-01-07,1081.0,1081.0,1081.0,1081.0,-1.96,10.0,10810.0,-1
2026-01-08,1080.0,1080.0,1072.0,1072.0,-0.83,50.0,53800.0,-1
2026-01-12,1073.1,1093.0,1073.0,1073.3,0.12,105.0,113276.0,1
2026-01-13,1073.3,1094.0,1073.3,1094.0,1.93,75.0,81472.5,1
