published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-16,1000.0,1082.4,1000.0,1069.0,6.9,224.0,237952.1,1
2025-11-17,1070.0,1070.0,1059.3,1068.4,-0.06,175.0,186540.0,-1
2025-11-18,1065.0,1068.0,1064.1,1068.0,-0.04,1350.0,1438912.5,-1
2025-11-19,1057.0,1065.0,1056.1,1062.1,-0.55,234.0,248130.9,-1
2025-11-20,1067.0,1067.0,1063.0,1064.0,0.18,200.0,212925.0,1
2025-11-23,1066.0,1086.5,1050.0,1086.5,2.11,1989.0,2152354.5,1
2025-11-24,1071.2,1071.2,1061.0,1061.0,-2.35,176.0,188266.1,-1
2025-11-25,1070.0,1070.0,1062.1,1062.1,0.1,330.0,352463.0,1
2025-11-26,1068.0,1068.0,1068.0,1068.0,0.56,15.0,16020.0,1
2025-11-27,1069.1,1080.0,1069.1,1080.0,1.12,358.0,385684.2,1
2025-11-30,1087.0,1099.4,1078.0,1099.4,1.8,1084.0,1178944.2,1
2025-12-01,1087.0,1087.0,1074.0,1074.0,-2.31,325.0,352950.0,-1
2025-12-02,1076.6,1076.6,1076.6,1076.6,0.24,30.0,32298.0,1
2025-12-03,1080.8,1085.0,1080.8,1085.0,0.78,120.0,129780.0,1
2025-12-08,1085.1,1106.8,1085.1,1106.8,2.01,2169.0,2388415.1,1
2025-12-09,1120.0,1125.0,1102.0,1110.0,0.29,720.0,803650.0,1
2025-12-10,1110.0,1114.0,1095.0,1095.0,-1.35,170.0,188545.0,-1
2025-12-11,1100.0,1125.0,1100.0,1103.0,0.73,2254.0,2534205.0,1
2025-12-14,1081.0,1081.0,1081.0,1081.0,-1.99,100.0,108100.0,-1
2025-12-15,1067.0,1067.0,1067.0,1067.0,-1.3,50.0,53350.0,-1
2025-12-17,1073.0,1079.0,1073.0,1079.0,1.12,75.0,80625.0,1
2025-12-21,1074.0,1104.0,1074.0,1104.0,2.32,975.0,1074217.5,1
2025-12-24,1082.0,1095.0,1082.0,1095.0,-0.82,300.0,326555.0,-1
2025-12-28,1090.0,1090.0,1087.1,1087.1,-0.72,300.0,326630.0,-1
2025-12-29,1087.1,1090.0,1087.1,1090.0,0.27,105.0,114350.0,1
2025-12-31,1080.0,1092.0,1080.0,1092.0,0.18,250.0,272700.0,1
2026-01-01,1081.0,1081.0,1081.0,1081.0,-1.01,100.0,108100.0,-1
2026-01-05,1078.0,1085.0,1078.0,1085.0,0.37,50.0,54075.0,1
2026-01-06,1081.0,1097.0,1081.0,1097.0,1.11,525.0,575525.0,1
2026-01-07,1077.0,1077.0,1076.0,1076.0,-1.91,30.0,32290.0,-1
2026-01-08,1081.0,1081.0,1080.0,1080.0,0.37,105.0,113475.0,1
2026-01-12,1082.0,1084.0,1082.0,1084.0,0.37,50.0,54150.0,1
2026-01-13,1072.0,1095.0,1072.0,1095.0,1.01,500.0,545934.0,1
2026-01-14,1073.1,1073.1,1073.1,1073.1,-2.0,25.0,26827.5,-1
2026-01-18,1073.0,1073.0,1073.0,1073.0,-0.01,25.0,26825.0,-1
2026-01-20,1053.1,1056.1,1053.1,1056.1,-1.58,50.0,52730.0,-1
2026-01-21,1061.2,1061.2,1061.2,1061.2,0.48,25.0,26530.0,1
2026-01-25,1052.1,1052.6,1052.1,1052.6,-0.81,50.0,52617.5,-1
2026-01-27,1055.4,1055.4,1055.4,1055.4,0.27,25.0,26385.0,1
2026-01-28,1055.4,1060.1,1055.4,1060.0,0.44,77.0,81554.0,1
2026-02-01,1051.0,1052.0,1045.0,1045.0,-1.42,175.0,183352.5,-1
2026-02-02,1056.3,1056.3,1056.3,1056.3,1.08,50.0,52815.0,1
2026-02-03,1052.8,1052.8,1052.8,1052.8,-0.33,100.0,105280.0,-1
2026-02-04,1055.8,1057.0,1055.8,1057.0,0.4,125.0,132029.0,1
2026-02-05,1060.0,1060.0,1060.0,1060.0,0.28,425.0,450500.0,1
2026-02-11,1060.2,1060.4,1060.2,1060.4,0.04,51.0,54075.2,1
2026-02-12,1060.0,1061.3,1060.0,1061.3,0.08,150.0,159130.0,1
2026-02-16,1080.0,1080.0,1065.0,1065.0,0.35,58.0,62070.0,1
2026-02-17,1060.0,1066.1,1060.0,1066.1,0.1,520.0,554172.5,1
2026-02-25,1066.1,1066.1,1066.1,1080.0,1.3,2.0,2160.0,1
2026-03-01,1058.4,1058.4,1058.4,1058.4,-2.0,30.0,31752.0,-1
2026-03-10,1058.4,1058.4,1053.1,1053.1,-0.5,25.0,26355.1,-1
2026-03-11,1055.0,1055.0,1055.0,1055.0,0.18,30.0,31650.0,1
2026-03-12,1058.1,1058.1,1058.1,1058.0,0.28,25.0,26452.4,1
2026-03-15,1058.2,1058.2,1058.2,1058.2,0.02,50.0,52910.0,1
2026-03-17,1058.2,1078.1,1058.2,1078.1,1.88,100.0,106793.9,1
2026-03-19,1056.7,1077.8,1056.7,1077.8,-0.03,75.0,80307.5,-1
2026-03-23,1070.0,1070.0,1070.0,1070.0,-0.72,25.0,26750.0,-1
2026-03-24,1050.0,1050.0,1050.0,1050.0,-1.87,25.0,26250.0,-1
