published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-01-05,0.0,0.0,0.0,0.0,0.0,126262.0,12626200.0,0
2015-01-08,140.0,140.0,140.0,140.0,0.0,285854.0,40019560.0,0
2015-01-11,140.0,0.0,0.0,140.0,0.0,153819.0,16150995.0,0
2015-01-12,140.0,138.0,138.0,138.0,0.0,73958.0,10206204.0,0
2015-01-19,138.0,136.0,132.0,132.0,0.0,6000.0,800000.0,0
2015-01-20,132.0,126.0,122.0,122.0,0.0,23193.0,2873546.0,0
2015-01-22,122.0,116.0,112.0,112.0,0.0,9000.0,1022000.0,0
2015-01-25,112.0,107.0,103.0,103.0,0.0,21000.0,2209000.0,0
2015-01-26,103.0,101.0,100.0,100.0,0.0,35686.0,3577793.0,0
2015-01-27,100.0,100.0,100.0,100.0,0.0,2228456.0,222845600.0,0
2015-02-22,100.0,0.0,0.0,100.0,0.0,43790.0,5035850.0,0
2015-02-26,100.0,110.0,102.0,110.0,0.0,126774.0,13365868.0,0
2015-03-01,110.0,118.0,112.0,118.0,0.0,22036.0,2531638.0,0
2015-03-02,118.0,122.0,120.0,122.0,0.0,25000.0,3030000.0,0
2015-03-04,122.0,132.0,124.0,132.0,0.0,70386.0,9039794.0,0
2015-03-09,132.0,136.0,134.0,136.0,0.0,13000.0,1760000.0,0
2015-04-01,136.0,140.0,138.0,140.0,0.0,100000.0,13900000.0,0
2015-04-09,140.0,0.0,0.0,140.0,0.0,38925.0,4671000.0,0
2015-04-13,140.0,146.0,142.0,146.0,0.0,427203.0,61595080.0,0
2015-05-24,146.0,146.0,146.0,146.0,0.0,425741.0,62158184.0,0
2015-05-25,146.0,148.0,148.0,148.0,0.0,17317.0,2562916.0,0
2015-06-08,148.0,148.0,148.0,148.0,0.0,72935.0,10794380.0,0
2015-06-23,148.0,150.0,150.0,150.0,0.0,49041.0,7356150.0,0
2015-06-28,150.0,150.0,150.0,150.0,0.0,42234.0,6335100.0,0
2015-06-30,150.0,150.0,150.0,150.0,0.0,114819.0,17222850.0,0
2015-07-08,150.0,150.0,150.0,150.0,0.0,3076.0,461400.0,0
2015-07-14,150.0,150.0,150.0,150.0,0.0,486562.0,72984304.0,0
2015-07-15,150.0,150.0,150.0,150.0,0.0,327112.0,49066800.0,0
2015-07-22,150.0,150.0,150.0,150.0,0.0,19462.0,2919300.0,0
2015-07-23,150.0,147.0,147.0,147.0,0.0,7998.0,1175706.0,0
2015-07-29,147.0,149.0,149.0,149.0,0.0,446664.0,66552936.0,0
2015-08-03,149.0,150.0,150.0,150.0,0.0,65199.0,9779850.0,0
2015-08-06,150.0,151.0,151.0,151.0,0.0,12164.0,1836764.0,0
2015-08-12,151.0,154.0,154.0,154.0,0.0,72500.0,11165000.0,0
2015-09-24,154.0,157.0,157.0,157.0,0.0,31994.0,5023058.0,0
2015-09-29,157.0,0.0,0.0,157.0,0.0,31994.0,4831094.0,0
2017-01-16,205.0,201.0,201.0,201.0,0.0,1016306.0,204277504.0,0
2017-01-18,201.0,201.0,201.0,201.0,0.0,25000.0,5025000.0,0
2017-01-22,201.0,201.0,201.0,201.0,0.0,300000.0,60300000.0,0
2017-01-23,201.0,201.0,201.0,201.0,0.0,518825.0,104283824.0,0
2017-01-24,201.0,201.0,197.0,197.0,0.0,79450.0,15755014.0,0
2017-01-25,197.0,194.0,191.0,191.0,0.0,895903.0,171182656.0,0
2017-01-26,191.0,188.0,185.0,185.0,0.0,61678.0,11560430.0,0
2017-02-12,185.0,188.0,188.0,188.0,0.0,98581.0,18533228.0,0
2017-02-16,188.0,188.0,188.0,188.0,0.0,17406.0,3272328.0,0
2017-02-23,188.0,191.0,191.0,191.0,0.0,116419.0,22236028.0,0
2017-03-07,191.0,191.0,191.0,191.0,0.0,22283.0,4256053.0,0
2017-03-29,191.0,191.0,191.0,191.0,0.0,21800.0,4163800.0,0
2017-03-30,191.0,191.0,191.0,191.0,0.0,24328.0,4646648.0,0
2017-04-04,191.0,190.0,190.0,190.0,0.0,7527.0,1430130.0,0
2017-04-20,190.0,190.0,190.0,190.0,0.0,39000.0,7410000.0,0
2017-04-24,190.0,190.0,190.0,190.0,0.0,4619.0,877610.0,0
2017-05-04,190.0,190.0,190.0,190.0,0.0,43266.0,8220540.0,0
2017-05-28,190.0,190.0,190.0,190.0,0.0,5000.0,950000.0,0
2017-06-01,190.0,190.0,190.0,190.0,0.0,10725.0,2037750.0,0
2017-06-04,190.0,190.0,190.0,190.0,0.0,32000.0,6080000.0,0
2017-06-05,190.0,190.0,190.0,190.0,0.0,24634.0,4680460.0,0
2017-06-14,190.0,190.0,190.0,190.0,0.0,127626.0,24248940.0,0
2017-06-15,190.0,190.0,190.0,190.0,0.0,83840.0,15929600.0,0
2017-06-21,190.0,190.0,190.0,190.0,0.0,36984.0,7026960.0,0
2017-06-22,190.0,190.0,190.0,190.0,0.0,743514.0,141267664.0,0
2017-06-25,190.0,190.0,190.0,190.0,0.0,617151.0,117258688.0,0
2017-06-27,190.0,187.0,187.0,187.0,0.0,35084.0,6560708.0,0
2017-07-02,187.0,190.0,190.0,190.0,0.0,5656.0,1074640.0,0
2017-07-11,190.0,190.0,190.0,190.0,0.0,142889.0,27148910.0,0
2017-07-12,190.0,190.0,190.0,190.0,0.0,43713.0,8305470.0,0
2017-07-18,190.0,190.0,190.0,190.0,0.0,28702.0,5453380.0,0
2017-07-19,190.0,190.0,190.0,190.0,0.0,83258.0,15819020.0,0
